timestamp_of_validation,supplier_name,sender,date,subject,idx_target,idx_llm,similarity,type_target,type_llm,variety_target,variety_llm,subvariety_target,subvariety_llm,size_target,size_llm,piece_target,piece_llm,brand_target,brand_llm,package_type_target,package_type_llm,class_target,class_llm,origin_country_code_target,origin_country_code_llm,net_weight_target,net_weight_llm,quantity_per_pallet_target,quantity_per_pallet_llm,price_target,price_llm
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,496,168,0.8333333333333334,Aubergines,Aubergines,Naked,Naked,,,300+,300+,,,,,,,,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,497,164,0.8333333333333334,Aubergines,Aubergines,Flow,Flowpack,,,175+,175+,,,,,,,,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,500,165,0.8333333333333334,Celery,Celery,,,,,14,14,,,,,,,,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,501,163,0.7083333333333334,Celery,Cucumber,Naked,Naked,,,,30,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,489,170,0.7222222222222223,Cucumber,Cucumber,Naked,Naked,,,30+,35+,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,0.0,5.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,511,187,0.5833333333333334,Springonion,Springonion,,,,,Short,XL,14stk,,,,,,,,,,,0.0,,0,0.0,4.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,512,161,0.638888888888889,Springonion,Springonion,,,,,Long,XL,14stk,,,,,,,,,,,0.0,,0,0.0,5.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,513,162,0.8333333333333334,Springonion,Springonion,,,,,,,,,,,,,,,,,4.0,4.0,,0,0.0,9.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,503,166,0.8333333333333334,Zucchini,Zucchini,,,,,G14,G14,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,505,167,0.75,Zucchini,Zucchini,,,,,M,M,,,,,Carton Box,Carton Box,2,,ES,ES,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,490,171,0.8541666666666666,Cucumber,Cucumber,Industry,Naked,,,,,,,,,,,,,ES,ES,14.0,14.0,,0,0.65,0.65
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,506,182,0.9166666666666666,Onions,Onions,Yellow,Yellow,,,75-105,75-105,,,,,,,,,NL,NL,10.0,10.0,,0,3.65,3.65
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,504,181,0.8333333333333334,Zucchini,Zucchini,,,,,G12,G12,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,4.0,4.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,502,180,0.8333333333333334,Zucchini,Zucchini,,,,,M,M,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,4.25,4.25
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,492,173,0.8333333333333334,Cucumber,Cucumber,Filmed,Filmed,,,25+,25,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,5.25,5.25
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,493,174,0.8333333333333334,Cucumber,Cucumber,Filmed,Filmed,,,30+,30,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,5.25,5.25
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,488,169,0.6666666666666666,Cucumber,Cucumber,Naked,Naked,,,35+,40,,,,,Carton Box,Carton Box,,,ES,ES,,0.0,,0,5.5,5.75
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,487,175,0.592948717948718,Cucumber,Aubergines,Naked,Naked,,,40+,175+,,,,,Carton Box,,,,ES,ES,,0.0,,0,5.75,6.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,494,176,0.8055555555555557,Aubergines,Aubergines,Naked,Naked,,,175+,225+,,,,,,,,,ES,ES,,0.0,,0,6.0,6.0
