supplier_name,date_of_sending,phone_number,email_address,email_subject,product_type,variety,sub_variety,size,piece,brand,package_type,product_class,country,net_weight,qty_per_pallet,price,remarks
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Tomato,Red Clamshell,unspecified,unspecified,9x250g,unspecified,Carton Box,unspecified,NL - Netherlands,2.25,184,0.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Tomato,Red Loose,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,MA - Marocco,4.00,176,0.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,Pauline,Carton Box,unspecified,NL - Netherlands,3.00,176,16.30,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,Pauline,Carton Box,unspecified,IT - Italy,3.00,176,9.30,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,Rote Perle,Carton Box,unspecified,NL - Netherlands,3.70,176,18.25,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,Harvest of Health,Carton Box,unspecified,NL - Netherlands,3.70,220,20.95,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,Hönig,Carton Box,unspecified,NL - Netherlands,3.00,220,46.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cherry Vine Tomato,Red Loose,unspecified,unspecified,unspecified,L'Amuse,Carton Box,unspecified,NL - Netherlands,3.00,176,0.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Vine Tomato,Red Loose,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL - Netherlands,5.00,120,11.90,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Vine Tomato,Red Loose,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL - Netherlands,5.00,120,12.90,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Capsicum,Red Naked,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL - Netherlands,5.00,88,25.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Capsicum,Green Naked,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL - Netherlands,5.00,88,15.75,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Capsicum,Yellow Naked,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL - Netherlands,5.00,88,22.75,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cucumber,Naked,unspecified,30-35,14stk,unspecified,Carton Box,unspecified,NL - Netherlands,,176,7.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cucumber,Naked,unspecified,35-40,12stk,unspecified,Carton Box,unspecified,NL - Netherlands,,176,7.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cucumber,Naked,unspecified,40-50,12stk,unspecified,Carton Box,unspecified,NL - Netherlands,,160,7.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cucumber,Naked,unspecified,50-60,12stk,unspecified,Carton Box,unspecified,NL - Netherlands,,108,7.75,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Cucumber,Industry,unspecified,unspecified,unspecified,unspecified,EPS,2,NL - Netherlands,10.00,80,10.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,EPS,1,NL - Netherlands,10.00,50,9.25,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Bag,1,NL - Netherlands,5.00,150,4.80,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,NL - Netherlands,10.00,65,10.00,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,NL - Netherlands,5.00,95,5.65,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Green bean,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,MA - Marocco,5.00,120,20.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Garlic,unspecified,unspecified,55+,unspecified,unspecified,Carton Box,unspecified,EG - Egypt,5.00,120,22.50,
Pseelen,20-03-2025 9:05:00,,huub@pseelen.nl,Prijslijst,Pickle,unspecified,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL - Netherlands,10.00,52,18.00,
