attribute,average_similarity,std_similarity
type,0.9224137931034483,0.26867993141882857
variety,0.5603448275862069,0.49849849510824745
subvariety,0.9655172413793104,0.1832572192187858
size,0.603448275862069,0.4913036844405174
piece,1.0,0.0
brand,0.9224137931034483,0.2686799314188285
package_type,0.9913793103448276,0.09284766908852592
class,0.8620689655172413,0.346323591435824
origin_country_code,1.0,0.0
net_weight,0.6982758620689655,0.46099754948338406
quantity_per_pallet,0.5603448275862069,0.49849849510824745
price,0.9482758620689655,0.22243035397358787
