supplier_name,sender,date,subject,type,variety,subvariety,size,piece,brand,package_type,class,origin_country_code,net_weight,quantity_per_pallet,price,remarks
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Tomato,Red,unspecified,unspecified,9x250g,unspecified,Carton Box,unspecified,NL,2.25,184,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Tomato,Red,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,MA,4.00,176,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,Pauline,Carton Box,unspecified,NL,3.00,176,16.30,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,Pauline,Carton Box,unspecified,IT,3.00,176,9.30,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,Rote Perle,Carton Box,unspecified,NL,3.70,176,18.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,Harvest of Health,Carton Box,unspecified,NL,3.70,220,20.95,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,Hönig,Carton Box,unspecified,NL,3.00,220,46.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cherry Vine Tomato,unspecified,unspecified,unspecified,unspecified,L'Amuse,Carton Box,unspecified,NL,3.00,176,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Vine Tomato,unspecified,unspecified,Middel/grof,unspecified,unspecified,Carton Box,unspecified,NL,5.00,120,11.90,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Vine Tomato,unspecified,unspecified,Grof,unspecified,unspecified,Carton Box,unspecified,NL,5.00,120,12.90,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Capsicum,Red,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL,5.00,88,25.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Capsicum,Green,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL,5.00,88,15.75,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Capsicum,Yellow,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL,5.00,88,22.75,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,unspecified,unspecified,30-35,14stk,unspecified,Carton Box,unspecified,NL,unspecified,176,7.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,unspecified,unspecified,35-40,12stk,unspecified,Carton Box,unspecified,NL,unspecified,176,7.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,unspecified,unspecified,40-50,12stk,unspecified,Carton Box,unspecified,NL,unspecified,160,7.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,unspecified,unspecified,50-60,12stk,unspecified,Carton Box,unspecified,NL,unspecified,108,7.75,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,Industry,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,10.00,80,10.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,EPS,1,NL,10.00,50,9.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Bag,1,NL,5.00,150,4.80,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,NL,10.00,65,10.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Leek,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,NL,5.00,95,5.65,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Green bean,unspecified,unspecified,unspecified,unspecified,unspecified,Carton Box,1,MA,5.00,120,20.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Garlic,unspecified,unspecified,55,unspecified,unspecified,Carton Box,unspecified,EG,5.00,120,22.50,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Pickle,unspecified,unspecified,D,unspecified,unspecified,EPS,unspecified,NL,10.00,52,18.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,Mini,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,12.00,56,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Cucumber,Stek,unspecified,160-180g,unspecified,unspecified,EPS,unspecified,NL,12.00,52,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,50/150,unspecified,unspecified,Bag,unspecified,NL,5.00,200,2.75,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,50/150,unspecified,unspecified,Bag,unspecified,NL,10.00,100,5.45,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,50/150,unspecified,unspecified,EPS,unspecified,NL,12.50,70,7.60,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,125/175,unspecified,unspecified,Bag,unspecified,NL,5.00,200,2.75,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,125/175,unspecified,unspecified,Bag,unspecified,NL,10.00,100,5.45,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,125/175,unspecified,unspecified,EPS,unspecified,NL,12.50,70,7.60,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,175/325,unspecified,unspecified,Bag,unspecified,NL,5.00,200,2.95,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,175/325,unspecified,unspecified,Bag,unspecified,NL,10.00,100,5.85,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Carrots,unspecified,unspecified,175/325,unspecified,unspecified,EPS,unspecified,NL,12.50,70,8.10,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Aubergines,unspecified,unspecified,225/300,unspecified,unspecified,Carton Box,unspecified,NL,5.00,88,9.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Rhubarb,unspecified,unspecified,40/20,unspecified,unspecified,Carton Box,unspecified,NL,6.00,80,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Rhubarb,unspecified,unspecified,40/15,unspecified,unspecified,Carton Box,unspecified,NL,6.00,80,0.00,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,75/80,unspecified,unspecified,EPS,unspecified,NL,7.00,100,8.15,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,80/85,unspecified,unspecified,EPS,unspecified,NL,7.00,100,8.15,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,60/65,unspecified,unspecified,EPS,unspecified,NL,11.00,65,10.70,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,65/70,unspecified,unspecified,EPS,unspecified,NL,11.00,65,11.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,70/75,unspecified,unspecified,EPS,unspecified,NL,11.00,65,11.80,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,75/80,unspecified,unspecified,EPS,unspecified,NL,11.00,65,11.80,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,80/90,unspecified,unspecified,EPS,unspecified,NL,11.00,65,10.15,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Elstar,unspecified,85/95,unspecified,unspecified,EPS,unspecified,NL,11.00,65,9.60,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Braeburn,unspecified,75/80,unspecified,unspecified,EPS,unspecified,NL,7.00,100,8.85,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Braeburn,unspecified,80/85,unspecified,unspecified,EPS,unspecified,NL,7.00,100,8.85,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Jonagold,unspecified,70/80,unspecified,unspecified,EPS,unspecified,NL,11.00,65,12.90,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Jonagold,unspecified,80/90,unspecified,unspecified,EPS,unspecified,NL,11.00,65,12.90,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Rode Boskoop,unspecified,75/85,unspecified,unspecified,EPS,unspecified,NL,11.00,65,15.65,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Golden Delicious,unspecified,70/75,unspecified,unspecified,EPS,unspecified,NL,11.00,65,10.70,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Golden Delicious,unspecified,75/80,unspecified,unspecified,EPS,unspecified,NL,11.00,65,10.70,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Golden Delicious,unspecified,80/90,unspecified,unspecified,EPS,unspecified,NL,11.00,65,11.80,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,70/75,unspecified,unspecified,EPS,unspecified,NL,6.50,100,8.85,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,75/80,unspecified,unspecified,EPS,unspecified,NL,7.00,100,10.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,80/85,unspecified,unspecified,EPS,unspecified,NL,7.00,100,10.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,85/90,unspecified,unspecified,EPS,unspecified,NL,7.00,100,9.90,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,65/75,unspecified,unspecified,EPS,unspecified,NL,11.00,65,10.70,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,70/75,unspecified,unspecified,EPS,unspecified,NL,11.00,65,11.25,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,80/90,unspecified,unspecified,EPS,unspecified,NL,11.00,65,13.45,
Pseelen,huub@pseelen.nl,20-03-2025 9:05:00,Prijslijst,Apples,Wellant,unspecified,90/100,unspecified,unspecified,EPS,unspecified,NL,15.00,50,13.55,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,50+,12stk,unspecified,Carton Box,unspecified,NL,unspecified,108,6.90,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,40+,12stk,unspecified,Carton Box,unspecified,NL,unspecified,unspecified,6.35,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,35+,12stk,unspecified,Carton Box,unspecified,NL,unspecified,160,6.35,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,30+,14stk,unspecified,Carton Box,unspecified,NL,unspecified,144,6.35,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,25+,16stk,unspecified,Carton Box,unspecified,NL,unspecified,160,6.35,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Industry,unspecified,unspecified,unspecified,unspecified,Carton Box,unspecified,NL,10.00,56,12.50,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Industry,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,10.00,60,12.50,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Mini,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,12.00,44,16.50,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Mini,unspecified,unspecified,32stk,unspecified,Carton Box,unspecified,NL,32.00,unspecified,9.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Lettuce,Iceberg,unspecified,unspecified,10stk,unspecified,Carton Box,unspecified,NL,unspecified,75,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Lettuce,Iceberg,unspecified,unspecified,9stk,unspecified,Carton Box,unspecified,NL,unspecified,75,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,50+,24stk,unspecified,EPS,unspecified,NL,unspecified,60,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,40+,30stk,unspecified,EPS,unspecified,NL,unspecified,60,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,35+,36stk,unspecified,EPS,unspecified,NL,unspecified,65,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,30+,42stk,unspecified,EPS,unspecified,NL,unspecified,60,18.75,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,25+,48stk,unspecified,EPS,unspecified,NL,unspecified,60,19.50,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,35+,22stk,unspecified,EPS,unspecified,NL,unspecified,72,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Industry,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,10.00,60,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,Stek,unspecified,unspecified,unspecified,unspecified,EPS,unspecified,NL,14.00,60,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,40+,22stk,unspecified,EPS,unspecified,NL,unspecified,72,0.00,
Frankort,t.hendriks@frankort.nl,21-03-2025 6:07:00,Dagprijzen komkommers.xlsx,Cucumber,unspecified,unspecified,35+,22stk,unspecified,EPS,unspecified,NL,unspecified,unspecified,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Tomato,Gelegd?,unspecified,G,unspecified,unspecified,unspecified,unspecified,MA,6.00,150,12.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Tomato,Can,unspecified,M,unspecified,unspecified,unspecified,unspecified,ES,5.80,140,15.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Vine Tomato,unspecified,unspecified,Middel/grof,unspecified,Luna,unspecified,unspecified,BE,5.00,150,11.90,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Vine Tomato,unspecified,unspecified,Middel,unspecified,Luna,unspecified,unspecified,ES,5.00,160,10.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cherry Tomato,unspecified,unspecified,Middel,9x250g,unspecified,unspecified,unspecified,NL,2.30,200,7.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cherry Plum Tomato,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,MA,4.00,200,9.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cherry Vine Tomato,unspecified,unspecified,Fijn,unspecified,unspecified,unspecified,unspecified,ES,3.00,260,10.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Beef Tomato,BBB,unspecified,92 - 102,unspecified,unspecified,unspecified,unspecified,BE,7.00,100,17.95,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Beef Tomato,BBB,unspecified,92 - 102,unspecified,unspecified,unspecified,unspecified,BE,7.00,105,17.95,
